rule_id,condition,verdict,segments,owner,confidence,status,scope,fires,sme_row,notes
H01,lead_days >= 60 AND max_tier <= 4 AND NOT corp_channel,cannot_be,Corporate,RM Domestic,certain,confirmed,all,5128418,2,"Corporate travel is booked late and in premium cabins. SME confirmed at `certain`, but their restatement dropped our `AND NOT corp_channel` guard — we keep it: a TMC-booked ticket is corporate however early it was bought"
H02,channel = 'Sea Crew',must_be,OFW/Migrant,RM International,certain,confirmed,all,1109422,5,"Maritime crew channel is definitive. SME confirmed. NB fires slightly below the `sea_crew` flag count, because `channel` at booking grain is max(channel) and a few bookings mix channels"
H03,is_award,must_be,Mabuhay Loyalist,FF Product Owner,certain,confirmed,all,6453,4,"SME confirmed. Transcribed as `is_award`, NOT as raw `BookingClass = 'F'` which is how the sheet wrote it: F means award only for tickets issued from 2026-04-01, and before that it meant Economy Non-revenue. `is_award` already carries that date guard (src/clean_real.py). The sheet's own rationale says 'post-April 2026' but its condition omitted it"
H04,any_business AND lead_days <= 1 AND round_trip,narrow_to,Corporate|Premium Bleisure,RM International,likely,confirmed,all,16987,3,Same-day business return is one of these two only. SME confirmed at `likely` — test against data before enforcing
H05,pilgrimage AND max_tier <= 2,cannot_be,Premium Bleisure,RM International,certain,unconfirmed,all,26215,,Ours. Not returned by the SME — no response either way. Pilgrimage traffic is not a bleisure product
H06,is_domestic AND NOT any_premium,cannot_be,Premium Bleisure,RM Domestic,certain,unconfirmed,all,12447798,,"Ours. Not returned by the SME. Compatible with S29, which tilts against the cheap tiers rather than vetoing them"
H07,foreign_issue AND is_international AND max_tier <= 2,cannot_be,Corporate,RM International,likely,unconfirmed,all,4617758,,Ours. Not returned by the SME. Cheapest economy issued abroad is not company-paid travel
H08,round_trip AND stay_nights <= 3 AND any_premium,cannot_be,Balikbayan/VFR,RM Domestic,certain,enforce,round trips,266536,17,"Anti-corporate exclusion — VFR travel means time with family. Part of a four-way composite fence with H10/H11/H12: premium cabin + short stay + short lead all funnel to Corporate, and four independently-written rules agree on it"
H09,"round_trip AND any_cabin_j AND stay_nights <= 4 AND turn_dest IN ('JED','MED','TLV')",cannot_be,Pilgrimage,RM Domestic,certain,too_thin,round trips,3,24,"Reasoning is sound — a business-cabin passenger into a religious hub for 2-4 days is a diplomat, not a pilgrim — but the population is essentially empty. Do not enforce; query with SME"
H10,round_trip AND lead_days <= 3 AND stay_nights <= 3 AND any_cabin_j,cannot_be,Premium Bleisure,RM Domestic,certain,enforce,round trips,24045,33,Business ticket bought 1-3 days out returning 2 days later is urgent pure Corporate — no time for leisure
H11,round_trip AND stay_nights <= 1 AND max_tier >= 4,must_be,Corporate,RM Domestic,certain,enforce,round trips,162360,35,"Same-day or next-day turnaround on a flexible/premium fare. The only `must_be` in the whole sheet. Checked against S30 (stay >= 8 argues away from Corporate): 0 bookings satisfy both, so the rule set is internally consistent here"
H12,round_trip AND lead_days <= 3 AND stay_nights <= 3 AND any_premium,cannot_be,Last-Minute (flag),RM Domestic,certain,enforce,round trips,79200,43,"Short-turnaround premium booked days out is Corporate urgency, not distressed last-minute. Fourth leg of the H08/H10/H11 composite fence"
H13,is_group AND any_cabin_j,cannot_be,MICE,RM Domestic,likely,test,—,2832,46,"PAL 2026-08-18: unblocked — 'yes these can stand in': the group indicator plus group fare class may substitute for PNR party size. ⚠️ The 'party > 10' THRESHOLD is still unevaluable, so the rule is transcribed as the weaker 'a group booking in business cabin is not MICE' (2,832 bookings, of which 219 would otherwise be MICE). Marked `test` because it is `likely`, not `certain`, and because the threshold was dropped. UNIMPLEMENTABLE — needs PNR party size ('cabin J if pax > 10'). Sectoral pax count is always 1 in the extract; the SME acknowledged this themselves in the Family rule. Returned to sender: can the group indicator plus a group fare class stand in?"
H14,round_trip AND lead_days <= 5 AND stay_nights <= 3,cannot_be,Ultra Wealthy Leisure,RM Domestic,certain,enforce,round trips,788759,49,"UNBLOCKED 2026-08-17 by PAL decision. Sound as written, but blocked on taxonomy decision 2 — Ultra Wealthy Leisure is not one of our 10 segments, and a constraint cannot be enforced on a segment that does not exist"
H15,sea_crew,cannot_be,Intl. Student,RM Domestic,certain,enforce,all,1112253,52,UNBLOCKED 2026-08-17 by PAL decision. Prevents confusing a student abroad for 4 months with a seafarer on a 4-month contract. Redundant rather than wrong: H02 already forces sea_crew to OFW/Migrant. Blocked on taxonomy decision 2
