rule_id,condition,leans_toward,leans_away_from,strength,owner,status,scope,fires,sme_row,notes
S01,dest_region = 'Middle East' AND max_tier <= 3,OFW/Migrant,Premium Bleisure,strong,RM International,confirmed,all,776347,6,Corridor is labour-driven but not exclusively. SME confirmed both directions — their rows 6 and 7 are the same rule stated twice
S02,"dep_month IN (4,5,12)",Balikbayan/VFR,Corporate,moderate,RM Domestic,withdrawn,all,6421146,8,"WITHDRAWN 2026-08-17 — decision 1: we keep `dep_month` as a validation anchor, so no rule may consume it. Peak season is the whole claim, so nothing survives removing dep_month. Retained here rather than deleted so the SME can see what we set aside and why. Original: Peak season skews to visiting family. Spending this costs us `dep_month`, one of only two unconditionally admissible validation anchors — see docs/sme-constraints-intake.md section 6. Recommendation is to NOT enforce and keep the anchor"
S03,lead_days <= 3 AND max_tier >= 6,Corporate,Last-Minute (flag),strong,RM International,confirmed,all,136714,10,"Premium urgency reads as business, not emergency. SME confirmed"
S04,is_domestic AND n_bookings >= 6,Corporate,Leisure,weak,RM Domestic,unconfirmed,customer grain,3698391,,"Ours. Not returned by the SME. NB `n_bookings` lives on the customer rollup, so this is the one rule that needs a join to evaluate"
S05,connecting AND NOT round_trip AND foreign_issue,OFW/Migrant,,moderate,RM International,unconfirmed,all,1782301,,"PAL 2026-08-18: `Family` is dropped as a segment, so the lean-away target no longer exists and has been cleared. Ours. Not returned by the SME"
S06,issue_country = 'PH' AND is_international AND max_tier <= 3,Leisure,OFW/Migrant,moderate,RM International,unconfirmed,all,2318406,,Ours — candidate rule for the 9.6% Unassigned bucket. Not returned by the SME; still needs a PAL decision
S07,is_group AND dest_region = 'Middle East',Pilgrimage,,moderate,RM International,unconfirmed,all,85804,,"PAL 2026-08-18: `Family` is dropped as a segment, so the lean-away target no longer exists and has been cleared. Ours. Not returned by the SME"
S08,round_trip AND foreign_issue AND stay_nights >= 14 AND max_tier <= 4,Balikbayan/VFR,OFW/Migrant,strong,RM Domestic,prior,round trips,1505410,14,Tickets issued abroad for long-stay non-premium round trips are expats and OFWs coming home. One of four rules that finally give us a discriminator for our weakest boundary — construct-validity AUC 0.608
S09,round_trip AND lead_days <= 7 AND max_tier <= 4 AND stay_nights >= 7,Balikbayan/VFR,Corporate,moderate,RM Domestic,prior,round trips,444218,15,"Emergency VFR — short lead usually flags Corporate, but paired with a low fare and a longer stay it catches funerals and sick relatives"
S10,"round_trip AND dep_month IN (11,12,1) AND stay_nights >= 21",Balikbayan/VFR,Leisure,strong,RM Domestic,withdrawn,round trips,387131,16,"WITHDRAWN 2026-08-17 — decision 1: we keep `dep_month` as a validation anchor, so no rule may consume it. The Q4-Q1 peak is the whole claim; what remains (round trip + stay >= 21) duplicates S08. Retained here rather than deleted so the SME can see what we set aside and why. Original: The Balikbayan peak. Also spends `dep_month` — see S02"
