id,group,priority,question,owner,blocks,our_recommendation,source,answer,answered_by,answered_date
A1,A. Blocking decision,blocking,"What does it cost PAL to wrongly label a booking in each of the four new segments (MICE, Ultra Wealthy Leisure, Intl. Student, Outbound International Leisure)?",Commercial + RM,The scoring stage entirely - the model is graded by an asymmetric cost matrix and the new segments have no weights,"This is a business input we must not invent. If you want to see the model run first, we can use the nearest existing weight as an explicit placeholder.",waterfall-v2-design.md s9,see run first,RM,18-Aug
A2,A. Blocking decision,blocking,"Budget/Adventure will hold 49.9% of all bookings after the change. Accept that, or split the segment?",Commercial,The taxonomy change; and any targeting built on Budget/Adventure,"Accept for now. We ship fare tier as a reporting band (Budget 7.3M / Mid 3.5M) which gives the split without inventing a customer type. We tested a real split and it failed - the 'mid-tier traveller' turned out to be mostly people booking late, which pricing already explains.",waterfall-v2-design.md s6,accept,RM,18-Aug
A3,A. Blocking decision,blocking,"Premium Bleisure shrinks 29% (481,666 to 343,100) because Ultra Wealthy Leisure takes its top end. Accept?",Commercial,The taxonomy change; existing Premium Bleisure persona slides become stale,"Accept - it is the direct and correct consequence of approving Ultra Wealthy Leisure, which is a premium subset.",waterfall-v2-design.md s6,accept,RM,18-Aug
A4,A. Blocking decision,blocking,21.8% of bookings change segment. When should this land?,Commercial + BI,"Publication of any new segment figure; persona cards, scorecards and drift baselines all go stale the same day","Land it before the next reporting cycle rather than mid-cycle, and re-run validation before publishing any new segment size.",waterfall-v2-design.md s6,ok with decision,RM,18-Aug
A5,A. Blocking decision,blocking,"A Filipino family of four flying to Japan in economy - is that Family, or Outbound International Leisure?",RM Domestic,"190,777 bookings. Family ends at either 350,527 or 159,821","Keep it in Family (what we drafted), but this is genuinely ambiguous and yours to call. Arguably Outbound should win because Family has no positive definition.",waterfall-v2-design.md s7,Family,RM,18-Aug
A6,A. Blocking decision,blocking,Does the Family segment mean anything beyond 'they booked as a group'?,RM Domestic,"6 rules, and whether Family is an honest segment name","Today Family is only 'a group booking no other rule claimed' - 100% of it. We cannot tell a family from three colleagues or a barkada. If there is no further signal, rename it Group Travel, which is all we actually measure.",sme-constraints-intake.md s5.1, might be best to drop family as only other indicator would be group travel during long weekends,RM,18-Aug
A7,A. Blocking decision,blocking,"When a group books 45+ days ahead for a 3-7 night trip to a convention hub, is that MICE or Family?",RM Domestic,"25,064 bookings that satisfy both definitions",MICE should be checked first. It has a real positive definition; Family is a residual bucket.,sme-constraints-intake.md s5.1,MICE,RM,18-Aug
B1,B. Data request,high,Can we have FarebasisCode? (already listed in PAL's own data dictionary),IT / Revenue Management,The one open confound on our strongest finding,"Manila-Gulf traffic shows a real one-month travel rhythm, which RM Domestic attributes to employer-mandated leave. If Gulf economy fares carry a one-month maximum-stay condition, the fare rule produces an identical pattern. We cannot separate the two without the fare basis, and the answer decides whether the rule generalises.",sme-constraints-intake.md s3.6,to scrape by data analytics,RM,18-Aug
B2,B. Data request,high,"Can we have Isupgrade, IsTourCode and IsFrequentFlyer?",IT,Independent validation of every segment boundary,"To measure whether our segments are right we need facts the rules never used. We are down to two such fields and the new rules spend one. All three of these are in your dictionary and no rule in the workbook touches any of them, so they are clean.",sme-constraints-intake.md s6,to scrape by data analytics,RM,18-Aug
B3,B. Data request,high,"Can we have PNR party size (passengers per booking)? If not, can the group indicator plus a group fare class stand in?",IT,"One SME rule outright (MICE cabin rule), and it bears on the whole Family question","The extract's passenger count is always 1 per sector, so 'MICE cannot be business class if party > 10' is unimplementable. RM Domestic noted this limitation themselves.",sme-constraints-intake.md s4,yes these can stand in,RM,18-Aug
